comment,posting_time,rating
"Meine Frau hat dann die Kassiererin freundlich gebeten, doch etwas langsamer zu machen, damit wir mit dem Einräumen beikommen können, da meinte sie durch ihr Headset durchgegeben zu müssen : Sie sind wieder da! Natürlich waren wir gemeint. Es ist immer die gleiche Kassiererin, die meine Geschwindigkeitsrekorde aufstellen zu müssen, obwohl an der Kasse nichts los war.","Apr 14, 2023",Rated 1 out of 5 stars
Ich war auch drauf und dran meinen Einkauf stehen zu lassen und zu gehen. ,"Nov 23, 2023",Rated 1 out of 5 stars
"Warum wohl weichen immer mehr Kunden nach Gustorf, Elsdorf, Pfaffendorf oder Bergheim aus? ","Jul 9, 2023",Rated 1 out of 5 stars
Weil man dort an der Kasse nicht gehetzt wird. ,"Jun 3, 2023",Rated 1 out of 5 stars
Im Lidl wird man beispielsweise auch nicht so gehetzt am der Kasse. Da haben die Kassierer noch Zeit...,"Dec 5, 2023",Rated 1 out of 5 stars
Bei den vielen schlechten Bewertungen für diverse Aldi-Märkte möchte ich gerne hier meine bevorzugte Filiale in 82065 Baierbrunn ausdrücklich loben - ,"Dec 10, 2023",
"für eine außerordentlich gute Regalpflege, alles immer sauber und ordentlich bestückt-","Dec 19, 2023",Rated 5 out of 5 stars
für das gesamte saubere Erscheinungsbild der Filiale und nicht zuletzt für das durchwegs immer freundliche und aufmerksame Personal welches selbst in Stressmomenten souverän handelt!,"Oct 13, 2023",Rated 1 out of 5 stars
"Da ich häufig unterwegs bin und durchaus sowohl  Aldifilialen und auch deren Wettbewerber kennenlerne wo einige Kritikpunkte erheblich schlechter ausfallen würden, erlaube ich mir dieses Urteil und freue mich auf „meine Stamm-Aldifiliale in Baierbrunn! Edmund Kölbl","Mar 16, 2024",Rated 1 out of 5 stars
"Ohne Worte,","Oct 4, 2023",Rated 1 out of 5 stars
"hatte einen Kaffeevollautomaten bestellt und bereits bezahlt. Weil Aldi sich mit dem Preis offensichtlich verkalkuliert hatte stornierte Aldi kurzerhand meine Bestellung und bedauerte noch, dass ich die Bestellung  storniert hätte- ","Jul 14, 2023",Rated 2 out of 5 stars
Das ist eine bodenlose Frechheit - Kundenbindung sieht anders aus !,"Jul 28, 2023",Rated 1 out of 5 stars
"Aldi Onlineshop hat einen Weinkühlschrank angeboten, den ich auch bestellt habe. Laut Rechnung die direkt über PayPal beglichen sollte die Lieferung 1-3Tage dauern.  Per Mail wurde mir mitgeteilt das sich , dass Logistik Unternehmen auch per Mail melden würde. nach fünf Tagen immer noch keine Info . Daraufhin Kontakt mit Aldi aufgenommen, Antwort die Lieferung verzögert sich noch, ich soll doch bitte Geduld haben. Ein Tag später erhalte ich die gleiche Mail morgens noch einmal. Soweit so gut, jedoch am Abend erfolgt eine weitere Mail, dass man meine Bestellung storniert hätte, weil der Kühlschrank nicht lieferbar ist, da angeblich der Lieferant falsche Bestände hätte. Kundenabzocke  als ob der jemals lieferbar war, reines Kunden veräppeln.","Oct 13, 2023",Rated 1 out of 5 stars
"Diese Firma hat mir LED Lichter verkauft , die nach 2 Monaten kaputt waren .","Oct 30, 2023",Rated 2 out of 5 stars
Mein Tipp: Kein Bilichschrott verkaufen,"Jun 5, 2023",Rated 1 out of 5 stars
ALMARE Forellenfilets,"Apr 18, 2023",Rated 1 out of 5 stars
"Almare Forellenfilets - 125gramm - 2,79 Euro","Feb 12, 2024",Rated 1 out of 5 stars
Traditionell heiß geräuchert; ohne Haut; verschiedene Sorten; ASC-zertifiziert,"Apr 11, 2023",Rated 1 out of 5 stars
"Packungsinhalt verkleinert, Preis erhöht!!","Jul 26, 2023",Rated 1 out of 5 stars
Schmeckt gut - aber teurer als bei REWE!!,"Jun 21, 2023",Rated 1 out of 5 stars
ALDI ist inzwischen einfach nur teuer!,"Nov 27, 2023",Rated 1 out of 5 stars
"Ich bin sehr enttäuscht über Berichte im Fernsehen dass Fleischqualität bei Aldi Bio Etikettierung falsch ist und das Fleisch kommt aus Spanien, Portugal und ähnlichen Ländern über 2000-3000 km hierher transportiert wird.","Jun 4, 2023",Rated 1 out of 5 stars
"Ich frage mich, hat so ein reiches Unternehmen sowas wirklich nötig?!","Mar 15, 2024",Rated 1 out of 5 stars
"Ich habe am 27.07.2023 gegen 11:15 Uhr in der Filiale Gerolstein eingekauft. An der Kasse wollte ich noch 200 Euro abheben. Leider habe ich die Karte zu früh ans Kartenlesegerät gehalten (oder die Kassiererin dies beim Eintippen zu spät berücksichtigt). Auf jeden Fall meinte die Kassiererin, Geld abheben geht jetzt nicht mehr, ich müsste noch einmal für 5 Euro einkaufen. ","Jul 12, 2023",Rated 5 out of 5 stars
"Hätte man nicht einen gekauften Artikel, der mehr als 5 Euro gekostet hat, stornieren können, das Geld bar auszahlen und ihn dann erneut unter Berücksichtigung der Barauszahlung von 200 Euro neu berechnen können?","Feb 16, 2024",Rated 1 out of 5 stars
Muß auch ehrlich sagen Aldi Mega schlecht geworden! Angebote total schnell vergriffen und das nicht nur einmal...fast immer! Textilien auch sehr schlecht! Lidl das komplette Gegenteil!,"Oct 2, 2023",
"Aldi Nord arbeitet ohne Rücksicht gegen die Kunden! Sie haben nur noch Markenwaren im Kopf. Auch heute wieder eine neue unverschämte Preiserhöhung beim Kaffee. Dann werden Angebote angepriesen die Wochen vorher das gleiche gekostet haben oder gar  billiger waren. Vor 3 Jahren war die Hütte noch voll, heute muss man nach einen Kunden schauen ob sich 6 Kunden im Laden sind. Ich bin selber Unternehmer wenn ich so die Kunden behandeln würde, wäre ich schon längst pleite. Aldis Produktmanager wollen sich nicht nach den Kunden richten. Nein, nur totaler Egoismus! Wahrscheinlich durch eine neue Generation. Aldi ist nur noch Peinlich. Leider, er war zur Paletten Zeit tausend Mal besser!!!!","Sep 1, 2023",Rated 2 out of 5 stars
"Dies ist eine durchschnittliche Bewertung aus, ","Jul 28, 2023",Rated 1 out of 5 stars
"Preise allg.: teils angeblich der bekannten Umstände recht hoch wie bei allen Anbietern, aber nach unten anpassen, tut sich mE alle sehr schwer, der Umsatz muss ja passen:(","Jun 19, 2023",Rated 3 out of 5 stars
"Qualität non food: überwiegend chinaqualität, zwar schon immer billiglohnland-Q, aber war vor 10 Jahren trotzdem besser. Da sind wir aber alle schuld, Geiz is geil...","May 23, 2023",Rated 1 out of 5 stars
"Qualität food (ex obst):  mE gut bis sehr gut, bei dem, was ich kaufe (also subjektiv u.a.)","Sep 23, 2023",Rated 1 out of 5 stars
"Obst/Gemüse: mittlere Qualität, Konkurrenz schneidet bei mir da besser ab, z.B. letzte Erfahrungen &Enttäuschungen: Kartoffeln treiben nach 24h (auch die von edeka;), während gleiche Sorte von Anbieter X 4tage älter, keine Anzeichen hatten. Salatgurken (2St. innerh 2Wo.) am selben tag, nach der halben Länge(?komisch) säuerlich,d.h. also,falsche Lagerung. Vinschgauer Äpfel 1v3kg ca ¾ braun nach 2-3 tagen, während der rest nach 10tagen noch ok ist. Könnten auch von Kunden getauscht worden sein, sind ja nicht komplett verpackt.","Dec 19, 2023",Rated 2 out of 5 stars
"Leider muss ich heute schon wieder Aldi negativ bewerten. Heute Nachmittag wollte ich dort Gemüse gelaufen.Die Bio-Gurken waren gelb und weich, die Möhren waren über und über schwarzen Schimmelflecken überzogen. Die Radieschen waren doch total  weich und nicht mehr zum Verkauf geeignet.","Jan 22, 2024",Rated 1 out of 5 stars
So etwas zu verkaufen ist eine Frechheit.,"Nov 26, 2023",Rated 1 out of 5 stars
Habe mit letztens einen Laugenzopf im Aldi Backshop gekauft. ,"Jun 28, 2023",Rated 1 out of 5 stars
"Beim Verzehren des Laugenzopfs musste ich feststellen dass dort ein schwarzes langes Haar mit eingebacken war. Der Laugenzopf kam mir oben wieder raus. Sowas widerliches habe ich noch nie erlebt. SUPER HYGIENEKONZEPT. Wirklich absolut abartig - nie wieder ! Das erste Mal, dass ich überhaupt eine Beschwerde schreibe aber das geht absolut gar nicht. Habe mich bereits an den Kundenservice gewendet und man wollte sich bei mir melden - NATÜRLICH nie wieder was von irgendwem gehört noch nicht mal heute - 20 tage danach. Spitzen Unternehmen.","Jul 22, 2023",Rated 1 out of 5 stars
Aldi hat unheimlich nachgelassen Regale leer und wollte heute Bargeldlos bezahlen ging nicht ich war bedient👎☹️Bin nach Lidl gegangen habe ohne Probleme alles bekommen da sage ich nur top👍🤗,"Nov 22, 2023",Rated 1 out of 5 stars
Ein Stern ist schon zu viel…,"Oct 31, 2023",Rated 1 out of 5 stars
Onlinebestellung wird ohne ersichtlichen Grund storniert… Jedoch der Rechnungsbetrag wird sofort eingezogen… die Erstattung dauert Tage..,"Aug 2, 2023",Rated 1 out of 5 stars
Einmal und nie wieder,"Jul 4, 2023",Rated 1 out of 5 stars
"Elektro Sachen meiden 2 Monate von 3 Jahren Garantie die Firma macht tausende wenn nicht sogar Millionen Umsatz im Jahr wegen 19,99€ hat die Firma einen Kunden verloren in Spanien um genauer zu sein in San Fulgencio neben Lidl und Burger King","May 31, 2023",Rated 1 out of 5 stars
